"satisfaction","customer_type","age","travel_type","cabin_class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","arr_delay_extra"
"dissatisfied","disloyal Customer",39,"Business travel","Eco",1723,1,1,1,4,5,1,5,5,5,2,2,1,2,5,7,5,-2.60940810793052
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2440,1,4,1,4,5,1,5,5,5,4,3,5,5,5,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",39,"Business travel","Eco",1490,2,5,2,1,2,2,2,2,3,2,4,4,5,2,0,6,5.24253573299665
"dissatisfied","Loyal Customer",59,"Personal Travel","Eco",1918,1,0,5,3,5,5,5,5,2,2,2,3,1,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1625,1,4,1,1,1,1,1,1,5,2,4,4,4,1,6,0,-6.63055898779807
"dissatisfied","disloyal Customer",13,"Business travel","Eco",1886,2,2,3,3,1,3,1,1,1,2,3,2,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",1597,2,2,2,4,4,2,4,4,3,4,3,4,4,4,17,13,-4.39789930925505
"dissatisfied","Loyal Customer",70,"Personal Travel","Eco",2035,3,5,3,2,3,2,2,3,4,5,5,2,3,2,141,150,11.2248097943208
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",2881,3,3,2,3,5,2,5,5,2,5,4,4,3,5,4,0,-4.67286074753316
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",2333,3,4,5,2,5,4,4,5,4,5,4,4,3,4,212,213,4.72652226491669
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",3962,1,4,1,1,1,1,1,4,5,3,5,1,4,1,0,1,0.242535732996651
"dissatisfied","disloyal Customer",45,"Business travel","Eco",2507,4,3,3,4,4,3,4,4,2,5,4,1,3,4,59,69,10.4904376451819
"dissatisfied","Loyal Customer",30,"Business travel","Eco",3690,2,3,3,3,2,2,2,2,4,3,3,4,4,2,4,0,-4.67286074753316
"dissatisfied","Loyal Customer",47,"Business travel","Eco",1588,1,2,1,1,1,1,1,1,1,3,3,4,4,1,35,18,-17.0171834716392
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1464,4,5,5,3,5,5,5,5,4,3,3,3,3,5,6,0,-6.63055898779807
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1953,1,5,1,1,3,1,3,3,4,5,4,5,4,3,39,40,1.06742004783099
"dissatisfied","disloyal Customer",56,"Business travel","Eco",1542,1,3,1,3,5,1,5,5,4,3,3,2,4,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",712,4,4,4,3,4,4,5,2,2,4,2,5,2,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2917,1,5,2,4,5,2,5,5,3,5,4,4,5,5,26,16,-10.2075413904471
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",2285,3,5,3,5,2,3,2,2,4,3,5,4,5,2,0,17,16.2425357329967
"dissatisfied","Loyal Customer",35,"Business travel","Eco",2217,1,3,3,3,1,1,1,1,3,4,3,4,4,1,21,24,2.68670421021514
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",1737,2,4,2,3,3,2,3,3,5,5,5,4,5,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",38,"Business travel","Eco",3588,2,4,2,2,2,2,2,4,5,3,3,2,3,2,138,132,-3.83864284528184
"dissatisfied","disloyal Customer",36,"Business travel","Eco",1826,3,2,4,4,5,4,5,5,2,1,3,4,4,5,49,45,-3.72107115349354
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",2524,4,2,4,3,1,4,3,1,3,5,3,4,3,1,0,9,8.24253573299665
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1917,1,1,1,4,2,1,2,2,3,5,3,1,4,2,39,25,-13.932579952169
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1433,2,2,2,4,4,2,4,4,4,4,3,1,3,4,16,7,-9.41905018912259
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1650,3,0,3,3,1,3,1,1,2,5,4,2,1,1,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",20,"Business travel","Eco",2120,3,2,2,3,5,2,5,5,2,2,2,2,2,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",2316,2,4,2,3,4,2,4,4,5,3,5,4,4,4,18,18,-0.376748429387498
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",1485,3,5,3,1,3,3,5,3,1,1,2,5,2,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2381,2,2,2,2,2,2,2,2,3,4,5,2,2,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2671,2,1,2,3,2,2,4,2,1,3,4,1,3,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",1395,3,3,3,2,2,3,2,2,5,4,2,1,1,2,4,44,39.3271392524668
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",2078,3,2,0,2,3,0,3,3,2,3,1,1,2,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",2228,2,2,2,4,1,2,1,1,3,4,3,1,3,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",36,"Business travel","Eco",1128,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",46,"Business travel","Eco",1609,3,4,3,4,4,3,2,4,1,2,1,2,1,4,94,99,6.2307184405461
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1292,2,4,2,4,2,2,2,2,3,3,4,4,5,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",17,"Personal Travel","Eco",2767,1,1,1,4,1,1,1,1,2,3,3,1,4,1,115,131,17.6748869177646
"dissatisfied","Loyal Customer",35,"Business travel","Eco",2014,3,1,2,2,3,3,3,3,3,2,3,3,3,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2845,2,2,2,4,2,2,2,2,2,2,3,3,4,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2012,1,1,1,4,4,1,4,4,4,5,3,3,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco",1885,2,4,2,1,2,2,2,2,5,4,5,4,5,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",66,"Personal Travel","Eco",2389,2,2,1,3,4,1,4,4,4,4,4,3,3,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco",1724,2,0,4,3,3,4,3,3,5,2,4,3,4,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",46,"Personal Travel","Eco",1708,2,4,2,3,2,2,2,2,4,5,5,3,5,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2179,1,4,1,4,4,1,1,4,5,3,5,5,5,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",43,"Business travel","Eco",809,3,5,5,5,5,2,3,3,3,3,3,1,3,1,10,4,-6.54595546832788
"dissatisfied","Loyal Customer",11,"Personal Travel","Eco",1932,2,5,2,3,2,1,5,3,3,5,5,5,5,5,143,148,7.26711155405592
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1640,3,2,3,4,2,3,2,2,2,4,4,2,4,2,55,51,-3.59416587428825
"dissatisfied","Loyal Customer",39,"Business travel","Eco",1991,1,4,4,4,1,1,1,1,3,2,4,3,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco",1817,2,5,0,3,1,0,1,1,4,3,4,5,5,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",36,"Business travel","Eco",2357,4,3,3,3,4,4,4,4,2,3,3,1,3,4,24,7,-17.2498431501822
"dissatisfied","disloyal Customer",36,"Business travel","Eco",1590,1,0,1,5,5,1,5,5,5,4,4,2,4,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",1624,4,5,4,4,4,4,4,4,3,2,4,5,5,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",2131,3,3,3,3,3,3,3,3,4,4,4,3,3,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",29,"Business travel","Eco",1900,3,4,3,4,4,3,1,4,4,3,3,2,4,4,18,6,-12.3767484293875
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",2378,2,5,1,5,5,1,5,5,3,2,4,5,4,5,9,11,1.43289365180458
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1517,2,0,2,2,4,2,4,4,5,5,4,3,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco",2049,3,5,3,4,5,3,5,5,4,3,3,5,5,5,0,7,6.24253573299665
"dissatisfied","Loyal Customer",59,"Personal Travel","Eco",1475,3,3,3,4,3,3,3,3,3,4,3,2,3,3,13,13,-0.482502828725235
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",2555,2,4,2,1,1,2,1,1,3,4,4,3,5,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",46,"Personal Travel","Eco",1473,3,3,3,2,2,3,2,2,3,2,5,2,2,2,32,12,-20.0806361112418
